ID,Name,Categories,,,,,,Neighborhoods
3162,New Heights Restaurant,American (New),,,,,,Woodley Park
2374,Tryst,Lounges,Coffee & Tea,American (Traditional),,,,Adams Morgan
2663,Firefly,American (New),Comfort Food,Breakfast & Brunch,,,,Dupont Circle
2322,Astor Mediterranean,Greek,Mediterranean,,,,
2355,Jack Rose Dining Saloon,Bars,American (Traditional),,,,
2378,Big Bear Cafe,Cafes,American (New),,,,,Bloomingdale
2528,Room 11,Wine Bars,American (New),Coffee & Tea,,,,Columbia Heights
2459,Bar 7,Lounges,,,,,
2492,Ping Pong Dim Sum,Dim Sum,Cocktail Bars,Asian Fusion,,,,Chinatown
2432,Kelly's Irish Times,Dive Bars,Pubs,Irish,,,
2383,The Pub & The People,American (New),Pubs,,,,,Bloomingdale
2405,Barrel,American (New),Cocktail Bars,Breakfast & Brunch,,,,Capitol Hill
2438,Tune Inn Restaurant & Bar,Dive Bars,American (Traditional),Pubs,,,,Capitol Hill
2875,Sol Mexican Grill,Mexican,,,,,,H Street Corridor/Atlas District/Near Northeast
2440,Young Chow,Chinese,,,,,,Capitol Hill
3223,American Ice Company,Barbeque,Bars,,,,
3224,Barcelona Wine Bar,Tapas/Small Plates,Wine Bars,Spanish,,,,Logan Circle
2449,La Plaza,Latin American,Mexican,,,,,Capitol Hill
3227,Hamilton's Bar & Grill,Sports Bars,,,,,
3246,The Manor,Cocktail Bars,American (New),,,,,Dupont Circle
2353,Muzette,Karaoke,Korean,,,,,Adams Morgan
3241,The Tavern at the Henley Park,American (Traditional),,,,,
2750,BlackSalt,Seafood,Breakfast & Brunch,,,,,Palisades
2627,Bar Charley,Bars,,,,,,Dupont Circle
2822,Breadsoda,Bars,Delis,Sandwiches,,,,Glover Park
2372,Tono Sushi,Sushi Bars,,,,,,Woodley Park
2441,Sona Creamery & Wine Bar,Wine Bars,Cheese Shops,,,,,Capitol Hill
2362,Meze,Turkish,Tapas Bars,,,,,Adams Morgan
3052,Wisdom,Lounges,,,,,,Barney Circle,Capitol Hill
3009,Poste Moderne Brasserie,Brasseries,Lounges,Breakfast & Brunch,,,,Penn Quarter
2600,Mari Vanna,Russian,,,,,
2746,Panda Cafe,Chinese,,,,,,Foggy Bottom
